id,f1,accuracy,time,feature_extractor,M,n_estimators,max_features
0,0.341476926103,0.438505507935,0.467226584752,<function tfidf at 0x105eea268>,64,20,1
1,0.394324798183,0.482419610376,0.680339972178,<function tfidf at 0x105eea268>,134,20,1
2,0.448848374051,0.514816769036,1.04521576564,<function tfidf at 0x105eea268>,284,20,1
3,0.475477516922,0.537563626783,1.71553428968,<function tfidf at 0x105eea268>,600,20,1
4,0.491096316968,0.55136558079,2.51007731756,<function tfidf at 0x105eea268>,1265,20,1
5,0.48224458035,0.553722418144,3.62241307894,<function tfidf at 0x105eea268>,2667,20,1
6,0.488742150493,0.559963059715,4.9077993234,<function tfidf at 0x105eea268>,5624,20,1
7,0.48939501077,0.554763261954,6.4263660113,<function tfidf at 0x105eea268>,-1,20,1
8,0.337948574702,0.440240130278,0.402606964111,<function tfidf at 0x105eea268>,64,20,2
9,0.392852211542,0.482350080136,0.643613417943,<function tfidf at 0x105eea268>,134,20,2
10,0.446849661663,0.51530042595,1.06668035189,<function tfidf at 0x105eea268>,284,20,2
11,0.477054901135,0.540267469031,1.64797671636,<function tfidf at 0x105eea268>,600,20,2
12,0.486944813938,0.550324320302,2.42190321287,<function tfidf at 0x105eea268>,1265,20,2
13,0.490915067688,0.559060283469,3.63714210192,<function tfidf at 0x105eea268>,2667,20,2
14,0.48036244951,0.554069093147,4.78965036074,<function tfidf at 0x105eea268>,5624,20,2
15,0.488629305274,0.554833688635,6.3028143247,<function tfidf at 0x105eea268>,-1,20,2
16,0.336119098491,0.43802027862,0.400084972382,<function tfidf at 0x105eea268>,64,20,4
17,0.393711001545,0.481725817287,0.652217388153,<function tfidf at 0x105eea268>,134,20,4
18,0.445909975038,0.513426885969,1.05975198746,<function tfidf at 0x105eea268>,284,20,4
19,0.464229818236,0.529796534209,1.61650864283,<function tfidf at 0x105eea268>,600,20,4
20,0.490356579652,0.54970226323,2.31703074773,<function tfidf at 0x105eea268>,1265,20,4
21,0.484946089521,0.554481931485,3.29405140877,<function tfidf at 0x105eea268>,2667,20,4
22,0.482249066214,0.554621603261,4.5951256752,<function tfidf at 0x105eea268>,5624,20,4
23,0.490750269936,0.554486249805,6.15615200996,<function tfidf at 0x105eea268>,-1,20,4
24,0.338516700323,0.438090040654,0.402345577876,<function tfidf at 0x105eea268>,64,20,8
25,0.394558203893,0.482003059606,0.646284421285,<function tfidf at 0x105eea268>,134,20,8
26,0.445712157693,0.512385493408,1.0313009421,<function tfidf at 0x105eea268>,284,20,8
27,0.460467820004,0.530072754502,1.56988191605,<function tfidf at 0x105eea268>,600,20,8
28,0.476040386688,0.54221055597,2.19703292847,<function tfidf at 0x105eea268>,1265,20,8
29,0.479839140521,0.549145350711,3.11567600568,<function tfidf at 0x105eea268>,2667,20,8
30,0.48102985417,0.552681620162,4.37439441681,<function tfidf at 0x105eea268>,5624,20,8
31,0.484337627085,0.550044408621,5.90134239197,<function tfidf at 0x105eea268>,-1,20,8
32,0.332529135934,0.43677190978,0.43107231458,<function tfidf at 0x105eea268>,64,20,16
33,0.392991301969,0.480408596869,0.720134973526,<function tfidf at 0x105eea268>,134,20,16
34,0.438495780528,0.509545376479,1.10742672284,<function tfidf at 0x105eea268>,284,20,16
35,0.460134736009,0.528685815173,1.58697660764,<function tfidf at 0x105eea268>,600,20,16
36,0.472531957285,0.540062037124,2.14089131355,<function tfidf at 0x105eea268>,1265,20,16
37,0.46817701625,0.544979886676,2.97487473488,<function tfidf at 0x105eea268>,2667,20,16
38,0.474951894946,0.547477432388,4.12705334028,<function tfidf at 0x105eea268>,5624,20,16
39,0.48128527469,0.544707147022,5.69366176923,<function tfidf at 0x105eea268>,-1,20,16
40,0.333718322754,0.4380208554,0.481923659643,<function tfidf at 0x105eea268>,64,20,32
41,0.386722342459,0.477493302082,0.749926328659,<function tfidf at 0x105eea268>,134,20,32
42,0.435833633572,0.508017050131,1.15765062968,<function tfidf at 0x105eea268>,284,20,32
43,0.452903745608,0.522929017565,1.6127289931,<function tfidf at 0x105eea268>,600,20,32
44,0.461431005248,0.531876764242,2.15954589844,<function tfidf at 0x105eea268>,1265,20,32
