id,f1,accuracy,time,feature_extractor,M,n_estimators,max_features
45,0.46497235306,0.536454075861,2.89808702469,<function tfidf at 0x105eea268>,2667,20,32
46,0.467561148946,0.541932230702,3.98407300313,<function tfidf at 0x105eea268>,5624,20,32
47,0.468019443193,0.531323738811,5.47765572866,<function tfidf at 0x105eea268>,-1,20,32
48,0.336060842397,0.436425453639,0.626009941101,<function tfidf at 0x105eea268>,64,20,64
49,0.39023151147,0.479296576024,0.959758043289,<function tfidf at 0x105eea268>,134,20,64
50,0.431726143991,0.505312168598,1.40024892489,<function tfidf at 0x105eea268>,284,20,64
51,0.449893419163,0.52195832498,1.84171128273,<function tfidf at 0x105eea268>,600,20,64
52,0.460264806876,0.529795265835,2.30692569415,<function tfidf at 0x105eea268>,1265,20,64
53,0.461012711465,0.531182537217,2.94324628512,<function tfidf at 0x105eea268>,2667,20,64
54,0.455846129373,0.533123980064,3.94350934029,<function tfidf at 0x105eea268>,5624,20,64
55,0.475008729043,0.536313845644,5.38825893402,<function tfidf at 0x105eea268>,-1,20,64
56,0.391222346154,0.478812559028,1.41211589177,<function tfidf at 0x105eea268>,134,20,128
57,0.430640905838,0.505659332511,1.84084296227,<function tfidf at 0x105eea268>,284,20,128
58,0.444359550956,0.517589378237,2.1762547493,<function tfidf at 0x105eea268>,600,20,128
59,0.458040889108,0.526329180502,2.71016208331,<function tfidf at 0x105eea268>,1265,20,128
60,0.454148562052,0.525977672403,3.16946236293,<function tfidf at 0x105eea268>,2667,20,128
61,0.45356656018,0.527925709957,4.0523010095,<function tfidf at 0x105eea268>,5624,20,128
62,0.456946725778,0.52514638907,5.38673671087,<function tfidf at 0x105eea268>,-1,20,128
63,0.426483472114,0.504341145041,2.77928495407,<function tfidf at 0x105eea268>,284,20,256
64,0.444496150409,0.51835075399,3.37111163139,<function tfidf at 0x105eea268>,600,20,256
65,0.450876359443,0.523556616587,3.49869561195,<function tfidf at 0x105eea268>,1265,20,256
66,0.445315072594,0.521195002191,3.7948393027,<function tfidf at 0x105eea268>,2667,20,256
67,0.440562093672,0.522788225664,4.48476664225,<function tfidf at 0x105eea268>,5624,20,256
68,0.446048368436,0.516824090613,5.71948901812,<function tfidf at 0x105eea268>,-1,20,256
