id,f1,accuracy,time,M,C,penalty,solver
0,0.0117410585162,0.0895470525324,0.106410662333,-1,1e-05,l1,liblinear
1,0.0117410585162,0.0895470525324,0.0768222014109,-1,0.0001,l1,liblinear
2,0.0193520285023,0.156690110709,0.152983983358,-1,0.001,l1,liblinear
3,0.0798828799318,0.266908323811,0.195975701014,-1,0.01,l1,liblinear
4,0.260392373447,0.399665696596,0.237422307332,-1,0.1,l1,liblinear
5,0.488865094995,0.55989741494,0.355350732803,-1,1.0,l1,liblinear
6,0.521588118305,0.578973764001,136.118614594,-1,10.0,l1,liblinear
